"0", "2:783:267.50", 14.44, "-", 4, " FF EF 40 19", " 9F 00 00 00"
"1", "2:783:457.68", 42.02, "-", 12, " FF FF FF FF F1 2C 29 9B 41 50 30 31", " 03 00 00 00 00 00 00 00 00 00 00 00"
"2", "2:783:554.74", 42.00, "-", 12, " FF FF FF FF F1 2C 29 9B 41 50 30 31", " 03 00 00 00 00 00 00 00 00 00 00 00"
"3", "2:783:645.20", 179.90, "-", 52, " FF FF FF FF F1 2C 29 9B 41 50 30 31 00 00 00 50 00 00 00 00 00 00 00 A4 00 00 00 E0 00 00 00 EC 00 00 00 F4 00 00 60 00 00 00 00 00 00 01 00 00 00 01 10 00", " 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"4", "2:784:012.16", 42.02, "-", 12, " FF FF FF FF F2 50 77 0E 00 00 03 24", " 03 00 00 50 00 00 00 00 00 00 00 00"
"5", "2:784:107.46", 28.24, "-", 8, " FF FF FF FF 00 00 03 24", " 03 00 00 54 00 00 00 00"
"6", "2:784:187.02", 42.02, "-", 12, " FF FF FF FF 72 20 CD 9F C8 A4 10 00", " 03 00 03 24 00 00 00 00 00 00 00 00"
"7", "2:784:277.12", 138.54, "-", 40, " FF FF FF FF 72 20 CD 9F C8 A4 10 00 00 00 00 00 94 08 10 00 00 00 00 A2 94 14 08 00 00 00 00 03 94 12 10 00 00 00 02 C6", " 03 00 03 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"8", "2:784:473.50", 28.22, "-", 8, " FF FF FF FF 00 00 03 48", " 03 00 00 58 00 00 00 00"
"9", "2:784:550.56", 42.00, "-", 12, " FF FF FF FF 60 04 63 A9 3C 04 00 4E", " 03 00 03 48 00 00 00 00 00 00 00 00"
"10", "2:784:640.66", 42.00, "-", 12, " FF FF FF FF 60 04 63 A9 3C 04 00 4E", " 03 00 03 48 00 00 00 00 00 00 00 00"
"11", "2:784:736.86", 28.24, "-", 8, " FF FF FF FF 00 00 03 50", " 03 00 00 5C 00 00 00 00"
"12", "2:784:813.92", 42.02, "-", 12, " FF FF FF FF 72 08 E9 EB 94 0A 10 00", " 03 00 03 50 00 00 00 00 00 00 00 00"
"13", "2:784:904.02", 55.80, "-", 16, " FF FF FF FF 72 08 E9 EB 94 0A 10 00 00 00 00 01", " 03 00 03 50 00 00 00 00 00 00 00 00 00 00 00 00"
"14", "2:785:015.62", 28.22, "-", 8, " FF FF FF FF 00 00 03 5C", " 03 00 00 60 00 00 00 00"
"15", "2:785:092.66", 42.02, "-", 12, " FF FF FF FF 72 10 21 CD A4 04 10 00", " 03 00 03 5C 00 00 00 00 00 00 00 00"
"16", "2:785:182.76", 83.40, "-", 24, " FF FF FF FF 72 10 21 CD A4 04 10 00 00 00 00 03 A8 02 10 00 00 00 00 18", " 03 00 03 5C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
