"46", "2:148:877.42", 2.56, "-", 2, " FF 00", " 35 00"
"47", "2:148:887.86", 2.56, "-", 2, " FF 60", " 15 00"
"48", "2:148:917.56", 53.04, "-", 15, " FF FF FF FF FF FB FF 02 00 00 00 00 00 02 00", " 0B 17 B0 00 00 00 00 00 00 00 00 00 00 00 00"
"49", "2:148:995.12", 2.56, "-", 2, " FF 54", " 05 00"
"50", "2:149:005.56", 2.54, "-", 2, " FF 00", " 35 00"
"51", "2:149:016.00", 2.56, "-", 2, " FF 60", " 15 00"
"52", "2:149:031.08", 2.54, "-", 2, " FF 54", " 05 00"
"53", "2:149:041.38", 2.54, "-", 2, " FF 00", " 35 00"
"54", "2:149:051.82", 2.56, "-", 2, " FF 60", " 15 00"
"55", "2:149:081.52", 127.06, "-", 43, " FF FF FF FF FF FB FA 00 03 00 00 01 00 00 00 00 01 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 00 01 00", " 0B 17 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"56", "2:149:219.42", 2.56, "-", 2, " FF 54", " 05 00"
"57", "2:149:229.84", 2.56, "-", 2, " FF 00", " 35 00"
"58", "2:149:240.30", 2.54, "-", 2, " FF 60", " 15 00"
"59", "2:149:270.00", 127.06, "-", 43, " FF FF FF FF FF FB FA 00 03 00 00 01 00 00 00 00 01 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 01 00 01 00", " 0B 17 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"60", "2:149:445.04", 2.56, "-", 2, " FF 54", " 05 00"
"61", "2:149:455.46", 2.56, "-", 2, " FF 00", " 35 00"
"62", "2:149:465.92", 2.54, "-", 2, " FF 60", " 15 00"
"63", "2:149:480.98", 2.56, "-", 2, " FF 54", " 05 00"
"64", "2:149:491.28", 2.56, "-", 2, " FF 00", " 35 00"
"65", "2:149:501.74", 2.54, "-", 2, " FF 60", " 15 00"
"66", "2:149:531.44", 370.24, "-", 135, " FF FF FF FF FF A9 97 56 11 07 03 00 00 09 FF 56 94 07 0A 00 00 00 FF C1 63 07 0A 00 00 7F FF C1 40 07 0A 00 00 7F FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 17 50 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"67", "2:149:912.54", 2.54, "-", 2, " FF 54", " 05 00"
"68", "2:149:922.96", 2.54, "-", 2, " FF 00", " 35 00"
"69", "2:149:933.40", 2.56, "-", 2, " FF 60", " 15 00"
"70", "2:149:963.10", 370.26, "-", 135, " FF FF FF FF FF A9 97 56 11 07 03 00 00 09 FF 56 94 07 0A 00 00 00 FF C1 63 07 0A 00 00 7F FF C1 40 07 0A 00 00 7F FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF", " 0B 17 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"71", "2:150:444.34", 2.56, "-", 2, " FF 54", " 05 00"
"72", "2:150:454.76", 2.56, "-", 2, " FF 00", " 35 00"
"73", "2:150:465.20", 2.56, "-", 2, " FF 60", " 15 00"
"74", "2:150:480.28", 2.56, "-", 2, " FF 54", " 05 00"
"75", "2:150:490.58", 2.56, "-", 2, " FF 00", " 35 00"
"76", "2:150:501.02", 2.56, "-", 2, " FF 60", " 15 00"
"77", "2:150:530.72", 146.48, "-", 49, " FF FF FF FF FF 74 92 38 36 37 42 30 36 30 31 31 31 4B 43 2D 35 50 41 30 30 31 30 32 32 30 2D 41 34 4B 43 2D 35 50 41 30 30 31 30 32 32 30 2D 30 35", " 0B 0A A0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"
"78", "2:150:688.06", 2.54, "-", 2, " FF 54", " 05 00"
"79", "2:150:698.48", 2.56, "-", 2, " FF 00", " 35 00"
"80", "2:150:708.92", 2.56, "-", 2, " FF 60", " 15 00"
