"Tektronix MDO34, version v1.4.26, serial number C017180"
"Bus Definition: SPI"
 Time, MOSI, MISO
2.499696e-04, 03 75 BE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 00 00 64 1F C0 44 AB 6F F8 F0 63 06 8F 9C 16 ED 4F ED B5 9B 74 40 BA 36 2C 2D 43 0D 40 06 4C 8A 00 10 EE 04 D5 AE 1D 01 56 08 D8 EA 6E 01 51 C0 00 4A 00 10 00 8C F0 13 55 58 89 02 37 6C 75 5A  
2.721872e-04, 03 75 BE 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 0D 22 68 57 5B 19 65 F0 9A 0A D3 3B 29 C7 56 E3 71 27 00 20 21 2E 01 10 00 38 E4 33 25 05 72 05 AB 6F BD 0D 09 B9 59 94 CB 5C 33 27 64 AB 2D BD 40 B6 E6 77 14 17 B0 08 35 00 28 02 6A 89 93 F8  
2.944048e-04, 03 75 BE 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 37 C5 56 5B 00 80 08 C0 80 12 82 34 F0 00 89 0F 95 56 7B 9C A3 4E B0 D5 90 44 0A A8 72 37 DF 5D 1D 69 35 D9 44 02 6C 5B 0A 0E 80 4B D4 10 00 C0 80 5C 0A 00 E9 2F 68 00 AE A6 B3 1A 32 2D D6 53  
3.163056e-04, 03 75 BE C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF 96 9D 33 B3 66 AB E9 D2 8B 1C 24 0B 00 B8 08 00 6C 0A 7D 14 28 76 0B 00 BA B4 42 08 88 A3 D8 6A 82 D7 80 AC F1 00 F7 E1 74 E9 94 29 63 77 B0 D4 AE 34 2B 8E DD 21 9B CD CF 9D 44 C7 CC AC C4 55  
3.382064e-04, 03 75 BF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF B8 33 07 00 05 00 A8 D6 40 ED 22 93 38 37 21 0F 62 00 A0 6D 98 3B E5 84 A0 AA 44 00 68 CD 6F 00 00 03 A0 06 5E 6C B4 03 CD 64 2B 90 2B C4 84 FA 37 E9 F9 FA 00 40 C2 80 02 B0 E4 6D 00 42 00 FC  
3.601072e-04, 03 75 BF 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 0C D8 02 94 86 04 41 C0 2B 48 30 F0 57 01 00 94 C3 B6 00 C0 00 8D 14 06 41 34 07 AD F8 0A 30 A1 A9 12 D0 8D 65 0F 20 11 4C 3D F2 8A C3 11 F1 E7 10 60 61 72 6F 28 0A 3B B6 24 3D 5A 4D EF 3E C9  
3.820080e-04, 03 75 BF 80 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 34 06 D4 BA 2E C1 15 64 0A 36 78 9A B8 12 41 63 6C BF 02 B6 2C AC 63 ED 7A 33 E5 1B A9 E6 3D 45 11 3D 29 42 79 D8 A8 49 15 CC 61 6C 7C E6 DF 78 BE 75 F9 3A 78 76 F7 06 B1 0C 7A 57 BB EF 64 29  
4.039088e-04, 03 75 BF C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 6A B0 3B 92 41 56 6E 47 97 1B 65 AA 13 67 DF 53 A0 2B 40 55 8C 1F 21 28 C0 D9 DB 68 5D 3A 6B 8D 4F 93 D4 B8 9B B4 66 5F 22 8A 05 34 06 5E 81 D0 01 99 B5 63 0A 1D 24 7D 36 88 4A D7 BF E2 6D 54  
4.258096e-04, 03 75 C0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , 00 00 00 00 20 F5 59 AF 26 82 35 01 49 B2 09 C8 3B C1 AC 1D D9 B3 02 15 97 32 4A 20 AD 87 B1 33 49 56 D3 DD F3 FA 89 19 35 19 99 F4 58 B1 07 29 5A A7 CA 80 AB 74 B1 76 84 3B 0D CC E4 E2 03 E9 3F E9 A4 DC  
4.477104e-04, 03 75 C0 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 , FF FF FF FF 93 88 55 65 60 D9 37 13 09 31 04 80 38 04 28 02 20 86 1A FC 08 F9 37 08 9A 4B A4 00 B4 28 01 D6 B2 5F 4F 82 95 26 C3 AE 22 17 F6 CD FA E3 57 84 08 67 43 B0 1C 20 09 78 13 82 09 5C 07 9E 21 80  
